SOC,Occupation,Empl,Mean Ann Wages2,LQ,Unempl,Unempl Rate,Online Job Ads,Empl Change,Ann %,Total Demand,Exits,Transfers,Empl Growth,Ann % Growth
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",3,41500,0.35,n/a,n/a,n/a,1,0.039,0,0,0,0,-0.003
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",3,46800,0.27,n/a,n/a,n/a,-1,-0.085,0,0,0,0,-0.014
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",3,46400,0.41,n/a,n/a,n/a,-1,-0.074,0,0,0,0,-0.015
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",3,51900,0.16,n/a,n/a,n/a,-5,-0.191,0,0,0,0,-0.014
51-7099,"Woodworkers, All Other",3,43300,0.69,n/a,n/a,n/a,-1,-0.045,0,0,0,0,-0.005
51-9031,"Cutters and Trimmers, Hand",3,41700,0.78,n/a,n/a,n/a,-2,-0.096,0,0,0,0,-0.021
53-6041,Traffic Technicians,3,56600,0.99,n/a,n/a,n/a,0,0.02,0,0,0,0,-0.002
53-6061,Passenger Attendants,3,35100,0.24,n/a,n/a,n/a,1,0.081,1,0,0,0,0
53-7072,"Pump Operators, Except Wellhead Pumpers",3,45200,0.43,n/a,n/a,n/a,0,0.016,0,0,0,0,-0.002
53-7121,"Tank Car, Truck, and Ship Loaders",3,43200,0.6,n/a,n/a,n/a,-1,-0.035,0,0,0,0,-0.003
11-9179,"Personal Service Managers, All Other",2,58900,0.34,n/a,n/a,n/a,0,0.055,0,0,0,0,0.004
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,2,70000,0.31,n/a,n/a,n/a,0,0.002,0,0,0,0,-0.004
17-3028,Calibration Technologists and Technicians,2,67600,0.31,n/a,n/a,n/a,0,0.03,0,0,0,0,-0.001
19-2021,Atmospheric and Space Scientists,2,77500,0.34,n/a,n/a,n/a,-1,-0.066,0,0,0,0,-0.005
19-2032,Materials Scientists,2,77500,0.56,n/a,n/a,n/a,0,-0.025,0,0,0,0,-0.004
19-4043,"Geological Technicians, Except Hydrologic Technicians",2,46300,0.32,n/a,n/a,n/a,0,-0.022,0,0,0,0,-0.001
25-1082,"Library Science Teachers, Postsecondary",2,68100,1.08,n/a,n/a,n/a,0,0.02,0,0,0,0,-0.004
27-1012,Craft Artists,2,50800,0.8,n/a,n/a,n/a,0,-0.044,0,0,0,0,-0.006
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",2,61800,0.44,n/a,n/a,n/a,0,-0.018,0,0,0,0,-0.004
27-1027,Set and Exhibit Designers,2,58900,0.42,n/a,n/a,n/a,1,0.073,0,0,0,0,0
27-2023,"Umpires, Referees, and Other Sports Officials",2,33400,0.22,n/a,n/a,n/a,0,0.065,0,0,0,0,0
27-2031,Dancers,2,48300,0.5,n/a,n/a,n/a,1,0.095,0,0,0,0,-0.001
27-2091,"Disc Jockeys, Except Radio",2,41800,0.45,n/a,n/a,n/a,0,-0.022,0,0,0,0,-0.002
27-4014,Sound Engineering Technicians,2,57300,0.36,n/a,n/a,n/a,1,0.049,0,0,0,0,-0.007
27-4015,Lighting Technicians,2,56300,0.47,n/a,n/a,n/a,1,0.107,0,0,0,0,-0.009
27-4031,"Camera Operators, Television, Video, and Film",2,74400,0.18,n/a,n/a,n/a,-1,-0.088,0,0,0,0,-0.007
29-1291,Acupuncturists,2,68100,0.34,n/a,n/a,n/a,0,0.015,0,0,0,0,0.003
31-2012,Occupational Therapy Aides,2,39600,0.95,n/a,n/a,n/a,-1,-0.058,0,0,0,0,-0.008
41-9012,Models,2,72800,0.84,n/a,n/a,n/a,0,0.051,0,0,0,0,-0.007
43-9031,Desktop Publishers,2,57600,0.78,n/a,n/a,n/a,-4,-0.211,0,0,0,0,-0.018
45-2099,"Agricultural Workers, All Other",2,38700,0.46,n/a,n/a,n/a,0,0.054,0,0,0,0,-0.003
45-4021,Fallers,2,50500,1.15,n/a,n/a,n/a,1,0.213,0,0,0,0,-0.013
47-2021,Brickmasons and Blockmasons,2,64600,0.08,n/a,n/a,n/a,-1,-0.052,0,0,0,0,-0.001
47-2022,Stonemasons,2,42000,0.48,n/a,n/a,n/a,0,-0.034,0,0,0,0,-0.013
47-2082,Tapers,2,58800,0.24,n/a,n/a,n/a,-1,-0.082,0,0,0,0,-0.007
47-2171,Reinforcing Iron and Rebar Workers,2,58900,0.31,n/a,n/a,n/a,0,-0.006,0,0,0,0,-0.001
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",2,41300,0.27,n/a,n/a,n/a,-2,-0.109,0,0,0,0,-0.009
47-3016,Helpers--Roofers,2,39900,0.67,n/a,n/a,n/a,-4,-0.21,0,0,0,0,0
47-4061,Rail-Track Laying and Maintenance Equipment Operators,2,63800,0.42,n/a,n/a,n/a,-1,-0.081,0,0,0,0,-0.002
47-5013,"Service Unit Operators, Oil and Gas",2,50400,0.08,n/a,n/a,n/a,1,0.087,0,0,0,0,-0.003
47-5032,"Explosives Workers, Ordnance Handling Experts, and Blasters",2,56400,0.61,n/a,n/a,n/a,0,-0.009,0,0,0,0,-0.004
47-5041,Continuous Mining Machine Operators,2,59600,0.27,n/a,n/a,n/a,0,0.015,0,0,0,0,0.003
47-5071,"Roustabouts, Oil and Gas",2,40900,0.07,n/a,n/a,n/a,0,0.03,0,0,0,0,-0.003
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",2,72300,0.81,n/a,n/a,n/a,-1,-0.069,0,0,0,0,0.002
49-9069,"Precision Instrument and Equipment Repairers, All Other",2,65200,0.4,n/a,n/a,n/a,0,-0.03,0,0,0,0,0
49-9081,Wind Turbine Service Technicians,2,64700,0.36,n/a,n/a,n/a,0,0.047,0,0,0,0,0.027
49-9097,Signal and Track Switch Repairers,2,60200,1.24,n/a,n/a,n/a,0,0.019,0,0,0,0,-0.003
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",2,46800,0.41,n/a,n/a,n/a,-1,-0.073,0,0,0,0,-0.019
51-4194,"Tool Grinders, Filers, and Sharpeners",2,56400,0.54,n/a,n/a,n/a,-1,-0.073,0,0,0,0,-0.013
51-8012,Power Distributors and Dispatchers,2,128600,0.48,n/a,n/a,n/a,0,0.027,0,0,0,0,-0.005
51-8091,Chemical Plant and System Operators,2,62000,0.18,n/a,n/a,n/a,0,-0.007,0,0,0,0,-0.011
51-8092,Gas Plant Operators,2,92400,0.27,n/a,n/a,n/a,0,0.002,0,0,0,0,-0.013
53-1041,Aircraft Cargo Handling Supervisors,2,83600,0.43,n/a,n/a,n/a,1,0.103,0,0,0,0,0
53-4031,Railroad Conductors and Yardmasters,2,67400,0.56,n/a,n/a,n/a,-1,-0.052,0,0,0,0,-0.002
13-1074,Farm Labor Contractors,1,47300,0.56,n/a,n/a,n/a,0,-0.047,0,0,0,0,-0.003
13-2022,Appraisers of Personal and Business Property,1,51700,0.94,n/a,n/a,n/a,0,-0.046,0,0,0,0,-0.001
15-2021,Mathematicians,1,104400,0.53,n/a,n/a,n/a,0,0,0,0,0,0,-0.005
15-2099,"Mathematical Science Occupations, All Other",1,50600,0.54,n/a,n/a,n/a,0,0.015,0,0,0,0,0.003
17-2121,Marine Engineers and Naval Architects,1,91700,0.14,n/a,n/a,n/a,0,-0.048,0,0,0,0,-0.003
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",1,105000,0.4,n/a,n/a,n/a,0,-0.022,0,0,0,0,0
17-2161,Nuclear Engineers,1,135600,0.09,n/a,n/a,n/a,0,-0.025,0,0,0,0,-0.003
17-3021,Aerospace Engineering and Operations Technologists and Technicians,1,82000,0.23,n/a,n/a,n/a,0,-0.006,0,0,0,0,0.004
19-1011,Animal Scientists,1,88800,0.48,n/a,n/a,n/a,0,-0.029,0,0,0,0,-0.002
19-1021,Biochemists and Biophysicists,1,91300,0.05,n/a,n/a,n/a,0,-0.007,0,0,0,0,-0.002
19-2043,Hydrologists,1,78000,0.19,n/a,n/a,n/a,0,-0.062,0,0,0,0,-0.005
19-3041,Sociologists,1,88100,0.55,n/a,n/a,n/a,0,-0.016,0,0,0,0,-0.004
19-3091,Anthropologists and Archeologists,1,48300,0.28,n/a,n/a,n/a,0,-0.048,0,0,0,0,-0.002
19-3093,Historians,1,60200,0.55,n/a,n/a,n/a,0,-0.018,0,0,0,0,-0.003
19-4051,Nuclear Technicians,1,80000,0.2,n/a,n/a,n/a,0,-0.057,0,0,0,0,0
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",1,96800,0.6,n/a,n/a,n/a,0,0.001,0,0,0,0,-0.002
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",1,103700,0.17,n/a,n/a,n/a,0,0.026,0,0,0,0,-0.003
25-1064,"Geography Teachers, Postsecondary",1,81900,0.64,n/a,n/a,n/a,0,0.011,0,0,0,0,-0.003
25-1192,"Family and Consumer Sciences Teachers, Postsecondary",1,73500,0.59,n/a,n/a,n/a,0,-0.001,0,0,0,0,-0.002
27-1022,Fashion Designers,1,74200,0.1,n/a,n/a,n/a,0,0.002,0,0,0,0,-0.005
29-1029,"Dentists, All Other Specialists",1,178100,0.49,n/a,n/a,n/a,0,0.01,0,0,0,0,-0.001
29-1243,Pediatric Surgeons,1,413000,2.25,n/a,n/a,n/a,0,0.001,0,0,0,0,-0.003
33-3041,Parking Enforcement Workers,1,37500,0.18,n/a,n/a,n/a,0,0.026,0,0,0,0,-0.007
33-3052,Transit and Railroad Police,1,74700,0.73,n/a,n/a,n/a,0,0.012,0,0,0,0,-0.002
33-9031,Gambling Surveillance Officers and Gambling Investigators,1,37900,0.14,n/a,n/a,n/a,0,0.021,0,0,0,0,-0.005
35-2013,"Cooks, Private Household",1,43000,0.67,n/a,n/a,n/a,0,n/a,0,0,0,0,-0.002
39-3011,Gambling Dealers,1,36200,0.03,n/a,n/a,n/a,1,0.115,0,0,0,0,0
39-3019,"Gambling Service Workers, All Other",1,33600,0.15,n/a,n/a,n/a,0,0.022,0,0,0,0,-0.001
39-3092,Costume Attendants,1,64900,0.19,n/a,n/a,n/a,0,n/a,0,0,0,0,0
39-5091,"Makeup Artists, Theatrical and Performance",1,165200,0.34,n/a,n/a,n/a,0,0.025,0,0,0,0,0.001
39-7012,Travel Guides,1,35200,0.52,n/a,n/a,n/a,0,0.02,0,0,0,0,0.001
41-2012,Gambling Change Persons and Booth Cashiers,1,33000,0.05,n/a,n/a,n/a,0,n/a,0,0,0,0,-0.01
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",1,36300,0.56,n/a,n/a,n/a,-1,-0.065,0,0,0,0,-0.009
43-2099,"Communications Equipment Operators, All Other",1,51000,0.85,n/a,n/a,n/a,0,-0.104,0,0,0,0,-0.014
43-9081,Proofreaders and Copy Markers,1,45100,0.59,n/a,n/a,n/a,-2,-0.159,0,0,0,0,-0.008
45-4023,Log Graders and Scalers,1,44700,0.82,n/a,n/a,n/a,0,0.014,0,0,0,0,-0.008
45-4029,"Logging Workers, All Other",1,59700,0.9,n/a,n/a,n/a,1,0.177,0,0,0,0,-0.01
47-2043,Floor Sanders and Finishers,1,55500,0.46,n/a,n/a,n/a,0,-0.074,0,0,0,0,-0.004
47-2072,Pile Driver Operators,1,50700,0.33,n/a,n/a,n/a,0,n/a,0,0,0,0,-0.002
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",1,32200,0.16,n/a,n/a,n/a,-1,-0.199,0,0,0,0,-0.003
47-5049,"Underground Mining Machine Operators, All Other",1,57300,0.28,n/a,n/a,n/a,0,-0.068,0,0,0,0,0.001
47-5081,Helpers--Extraction Workers,1,47900,0.18,n/a,n/a,n/a,0,-0.106,0,0,0,0,0.002
49-3043,Rail Car Repairers,1,61600,0.23,n/a,n/a,n/a,-5,-0.294,0,0,0,0,0.008
49-9061,Camera and Photographic Equipment Repairers,1,47000,0.78,n/a,n/a,n/a,0,-0.049,0,0,0,0,-0.006
49-9064,Watch and Clock Repairers,1,52300,1.02,n/a,n/a,n/a,0,-0.03,0,0,0,0,-0.008
49-9095,Manufactured Building and Mobile Home Installers,1,49900,0.77,n/a,n/a,n/a,-1,-0.08,0,0,0,0,0
51-2031,Engine and Other Machine Assemblers,1,40400,0.05,n/a,n/a,n/a,0,-0.012,0,0,0,0,-0.011
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",1,59900,0.28,n/a,n/a,n/a,-1,-0.131,0,0,0,0,-0.022
51-4051,Metal-Refining Furnace Operators and Tenders,1,53700,0.12,n/a,n/a,n/a,1,0.158,0,0,0,0,-0.009
51-4071,Foundry Mold and Coremakers,1,57700,0.19,n/a,n/a,n/a,0,0.007,0,0,0,0,-0.015
51-4192,"Layout Workers, Metal and Plastic",1,62500,0.38,n/a,n/a,n/a,0,0.009,0,0,0,0,-0.013
51-6041,Shoe and Leather Workers and Repairers,1,34200,0.21,n/a,n/a,n/a,-1,-0.103,0,0,0,0,-0.011
51-6051,"Sewers, Hand",1,40600,0.99,n/a,n/a,n/a,-1,-0.079,0,0,0,0,-0.013
51-6092,Fabric and Apparel Patternmakers,1,70500,0.64,n/a,n/a,n/a,0,-0.063,0,0,0,0,-0.018
51-9082,Medical Appliance Technicians,1,46700,0.15,n/a,n/a,n/a,0,0,0,0,0,0,-0.002
51-9151,Photographic Process Workers and Processing Machine Operators,1,32900,0.33,n/a,n/a,n/a,-6,-0.309,0,0,0,0,-0.01
51-9193,Cooling and Freezing Equipment Operators and Tenders,1,47900,0.4,n/a,n/a,n/a,0,0.011,0,0,0,0,0.001
53-5011,Sailors and Marine Oilers,1,40300,0.04,n/a,n/a,n/a,0,0.012,0,0,0,0,-0.004
53-5021,"Captains, Mates, and Pilots of Water Vessels",1,101300,0.07,n/a,n/a,n/a,0,0.021,0,0,0,0,-0.002
53-5022,Motorboat Operators,1,41800,0.42,n/a,n/a,n/a,0,0.003,0,0,0,0,-0.001
53-5031,Ship Engineers,1,99700,0.14,n/a,n/a,n/a,0,0.006,0,0,0,0,-0.006
53-6011,Bridge and Lock Tenders,1,53500,0.55,n/a,n/a,n/a,0,-0.007,0,0,0,0,-0.007
53-7031,Dredge Operators,1,54200,1.05,n/a,n/a,n/a,0,-0.092,0,0,0,0,-0.002
53-7041,Hoist and Winch Operators,1,39900,1.01,n/a,n/a,n/a,0,0.023,0,0,0,0,-0.006
53-7071,Gas Compressor and Gas Pumping Station Operators,1,67700,0.4,n/a,n/a,n/a,0,0,0,0,0,0,-0.005
17-2021,Agricultural Engineers,0,n/a,0,n/a,n/a,n/a,0,n/a,0,0,0,0,0
19-4044,Hydrologic Technicians,0,n/a,0,n/a,n/a,n/a,0,n/a,0,0,0,0,0
27-2032,Choreographers,0,n/a,0,n/a,n/a,n/a,0,n/a,0,0,0,0,0
39-3021,Motion Picture Projectionists,0,n/a,0,n/a,n/a,n/a,0,n/a,0,0,0,0,0
47-2142,Paperhangers,0,n/a,0,n/a,n/a,n/a,0,n/a,0,0,0,0,0
51-4061,"Model Makers, Metal and Plastic",0,n/a,0,n/a,n/a,n/a,0,n/a,0,0,0,0,0
51-7031,"Model Makers, Wood",0,n/a,0,n/a,n/a,n/a,0,n/a,0,0,0,0,0
51-9141,Semiconductor Processing Technicians,0,n/a,0,n/a,n/a,n/a,0,n/a,0,0,0,0,0
53-3054,Taxi Drivers,0,n/a,0,n/a,n/a,n/a,-6,n/a,0,0,0,0,0
53-4011,Locomotive Engineers,0,n/a,0,n/a,n/a,n/a,-1,n/a,0,0,0,0,0
53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",0,n/a,0,n/a,n/a,n/a,-1,n/a,0,0,0,0,0
53-4022,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",0,n/a,0,n/a,n/a,n/a,-2,n/a,0,0,0,0,0
53-4099,"Rail Transportation Workers, All Other",0,n/a,0,n/a,n/a,n/a,-1,n/a,0,0,0,0,0
00-0000,Total - All Occupations,78757,59600,0.99,n/a,n/a,n/a,-1280,-0.003,8178,3755,4626,-203,-0.003
